,Time,Ch1,Ch2,Ch3,Ch4
0,0,65,15,0,0
1,0,17,19,0,0
2,0,28,51,44,40
3,0,189,200,195,177
4,0,393,404,403,368
5,0,620,635,637,588
6,0,842,858,858,797
7,0,973,1023,1023,999
8,0,1023,1023,1023,1023
9,0,1023,1023,1023,1023
10,0,1023,1023,1023,1023
11,0,1015,1002,992,983
12,0,789,794,793,811
13,0,571,566,564,600
14,0,333,313,312,366
15,0,125,82,76,136
16,0,22,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,1
23,0,87,89,98,101
24,0,267,260,265,250
25,0,494,490,493,458
26,0,726,732,733,678
27,0,918,946,953,898
28,0,1012,1023,1023,1023
29,0,1023,1023,1023,1023
30,0,1023,1023,1023,1023
31,0,1023,1023,1023,1023
32,0,891,889,883,892
33,0,678,677,677,704
34,0,443,433,431,476
35,0,206,186,187,250
36,0,63,0,0,26
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,21,24,34,44
44,0,195,181,184,176
45,0,400,395,399,368
46,0,631,634,635,585
47,0,841,851,853,796
48,0,976,1023,1023,997
49,0,1023,1023,1023,1023
50,0,1023,1023,1023,1023
51,0,1023,1023,1023,1023
52,0,1002,987,977,969
53,0,779,784,782,798
54,0,561,556,553,588
55,0,319,304,303,351
56,0,121,72,70,129
57,0,14,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,7
64,0,94,97,104,107
65,15293000,285,278,280,263
66,15293000,513,510,511,471
67,15293000,737,746,745,691
68,15293000,920,954,963,909
69,15293000,1021,1023,1023,1023
70,15293000,1023,1023,1023,1023
71,15293000,1023,1023,1023,1023
72,15293000,1023,1023,1023,1023
73,15293000,879,875,870,882
74,15293000,669,668,667,697
75,15293000,436,425,423,468
76,15293000,204,179,179,241
77,15293000,61,0,0,21
78,15293000,0,0,0,0
79,15293000,0,0,0,0
80,15293000,0,0,0,0
81,15293000,0,0,0,0
82,15293000,0,0,0,0
83,15293000,0,0,0,0
84,15293000,24,29,40,48
85,15293000,196,188,191,184
86,15293000,404,402,403,374
87,15293000,635,640,641,594
88,15293000,849,859,859,803
89,15293000,975,1023,1023,999
90,15293000,1023,1023,1023,1023
91,15293000,1023,1023,1023,1023
92,15293000,1023,1023,1023,1023
93,15293000,998,984,973,965
94,15293000,787,789,787,801
95,15293000,569,563,560,594
96,15293000,325,309,308,361
97,15293000,123,75,72,132
98,15293000,18,0,0,0
99,15293000,0,0,0,0
100,15293000,0,0,0,0
101,15293000,0,0,0,0
102,15293000,0,0,0,0
103,15293000,0,0,0,0
104,15293000,0,0,0,7
105,15293000,92,93,101,105
106,15293000,278,270,273,259
107,15293000,500,499,501,464
108,15293000,728,737,738,685
109,15293000,919,949,956,902
110,15293000,1014,1023,1023,1023
111,15293000,1023,1023,1023,1023
112,15293000,1023,1023,1023,1023
113,15293000,1023,1023,1023,1023
114,15293000,885,883,877,886
115,15293000,679,676,674,700
116,15293000,440,430,429,476
117,15293000,204,184,183,245
118,15293000,62,0,0,25
119,15293000,0,0,0,0
120,15293000,0,0,0,0
121,15293000,0,0,0,0
122,15293000,0,0,0,0
123,15293000,0,0,0,0
124,15293000,0,0,0,0
